path,id,character,state,direction,frame_count,loop,playback,fps,loop_seam,known_issue_count
characters/loko/animations/activities/drink_02/animation.json,loko_drink_02,loko,drinking,none,7,True,forward,6,acceptable,1
characters/loko/animations/activities/eat/animation.json,loko_eat,loko,eating,none,9,True,ping_pong,6,imperfect,2
characters/loko/animations/activities/laptop/animation.json,loko_laptop,loko,laptop,none,12,True,forward,4,acceptable,2
characters/loko/animations/activities/music/animation.json,loko_music,loko,music,none,11,True,forward,8,acceptable,1
characters/loko/animations/activities/peeking_01/animation.json,loko_peeking_01,loko,peeking,none,3,False,forward,6,not_applicable_one_shot,1
characters/loko/animations/activities/peeking_02/animation.json,loko_peeking_02,loko,peeking,none,5,False,forward,6,not_applicable_one_shot,1
characters/loko/animations/activities/playing_ball_01/animation.json,loko_playing_ball_01,loko,playing_ball,none,7,False,forward,8,not_applicable_one_shot,1
characters/loko/animations/activities/reading_01/animation.json,loko_reading_01,loko,reading,none,5,True,forward,4,acceptable,1
characters/loko/animations/emotions/love_reaction/animation.json,loko_love_reaction,loko,love_reaction,none,8,False,forward,6,not_applicable_one_shot,2
characters/loko/animations/idle/idle_front/animation.json,loko_idle_front,loko,idle,none,8,True,forward,3,acceptable,1
characters/loko/animations/locomotion/locomotion_side_01/animation.json,loko_locomotion_side_01,loko,walking,right,3,True,forward,8,acceptable,1
characters/loko/animations/locomotion/locomotion_side_02/animation.json,loko_locomotion_side_02,loko,walking,right,7,True,forward,8,acceptable,1
characters/loko/animations/sleeping/sleep_loop/animation.json,loko_sleep_loop,loko,sleeping,none,3,True,forward,3,acceptable,1
characters/loko/animations/sleeping/sleep_transition/animation.json,loko_sleep_transition,loko,sleep_transition,none,6,False,forward,6,not_applicable_one_shot,1
characters/poko/animations/activities/drink/animation.json,poko_drink,poko,drinking,none,8,True,forward,6,acceptable,1
characters/poko/animations/activities/eat/animation.json,poko_eat,poko,eating,none,11,True,forward,6,acceptable,2
characters/poko/animations/activities/music/animation.json,poko_music,poko,music,none,12,True,forward,8,acceptable,1
characters/poko/animations/activities/peeking/animation.json,poko_peeking,poko,peeking,none,12,False,forward,6,not_applicable_one_shot,2
